
Attaching file /nfs/user/pmastra/DeepTau2p5/TauOfficial/nano/UL2018/DYJetsToLL_M-50-madgraphMLM/nano_0_skim_0.root as _file0...
Collection name='TObjArray', class='TObjArray', size=368
 OBJ: TLeafO	Flag_HBHENoiseIsoFilter	Flag_HBHENoiseIsoFilter
 OBJ: TLeafO	Flag_HcalStripHaloFilter	Flag_HcalStripHaloFilter
 OBJ: TLeafO	Flag_METFilters	Flag_METFilters
 OBJ: TLeafO	Flag_chargedHadronTrackResolutionFilter	Flag_chargedHadronTrackResolutionFilter
 OBJ: TLeafO	Flag_ecalBadCalibFilter	Flag_ecalBadCalibFilter
 OBJ: TLeafO	Flag_ecalLaserCorrFilter	Flag_ecalLaserCorrFilter
 OBJ: TLeafO	Flag_eeBadScFilter	Flag_eeBadScFilter
 OBJ: TLeafO	Flag_globalSuperTightHalo2016Filter	Flag_globalSuperTightHalo2016Filter
 OBJ: TLeafO	Flag_globalTightHalo2016Filter	Flag_globalTightHalo2016Filter
 OBJ: TLeafO	Flag_goodVertices	Flag_goodVertices
 OBJ: TLeafO	Flag_hcalLaserEventFilter	Flag_hcalLaserEventFilter
 OBJ: TLeafO	Flag_hfNoisyHitsFilter	Flag_hfNoisyHitsFilter
 OBJ: TLeafO	Flag_muonBadTrackFilter	Flag_muonBadTrackFilter
 OBJ: TLeafO	Flag_trkPOGFilters	Flag_trkPOGFilters
 OBJ: TLeafO	Flag_trkPOG_logErrorTooManyClusters	Flag_trkPOG_logErrorTooManyClusters
 OBJ: TLeafO	Flag_trkPOG_manystripclus53X	Flag_trkPOG_manystripclus53X
 OBJ: TLeafO	Flag_trkPOG_toomanystripclus53X	Flag_trkPOG_toomanystripclus53X
 OBJ: TLeafO	HLTriggerFinalPath	HLTriggerFinalPath
 OBJ: TLeafO	HLTriggerFirstPath	HLTriggerFirstPath
 OBJ: TLeafO	HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_TightID_eta2p1_Reg	HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_TightID_eta2p1_Reg
 OBJ: TLeafO	HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg	HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg
 OBJ: TLeafO	HLT_DoubleMediumChargedIsoPFTauHPS40_Trk1_TightID_eta2p1_Reg	HLT_DoubleMediumChargedIsoPFTauHPS40_Trk1_TightID_eta2p1_Reg
 OBJ: TLeafO	HLT_DoubleMediumChargedIsoPFTauHPS40_Trk1_eta2p1_Reg	HLT_DoubleMediumChargedIsoPFTauHPS40_Trk1_eta2p1_Reg
 OBJ: TLeafO	HLT_DoubleMu3_TkMu_DsTau3Mu	HLT_DoubleMu3_TkMu_DsTau3Mu
 OBJ: TLeafO	HLT_DoubleMu3_Trk_Tau3mu	HLT_DoubleMu3_Trk_Tau3mu
 OBJ: TLeafO	HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass	HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass
 OBJ: TLeafO	HLT_DoubleTightChargedIsoPFTauHPS35_Trk1_TightID_eta2p1_Reg	HLT_DoubleTightChargedIsoPFTauHPS35_Trk1_TightID_eta2p1_Reg
 OBJ: TLeafO	HLT_DoubleTightChargedIsoPFTauHPS35_Trk1_eta2p1_Reg	HLT_DoubleTightChargedIsoPFTauHPS35_Trk1_eta2p1_Reg
 OBJ: TLeafO	HLT_DoubleTightChargedIsoPFTauHPS40_Trk1_TightID_eta2p1_Reg	HLT_DoubleTightChargedIsoPFTauHPS40_Trk1_TightID_eta2p1_Reg
 OBJ: TLeafO	HLT_DoubleTightChargedIsoPFTauHPS40_Trk1_eta2p1_Reg	HLT_DoubleTightChargedIsoPFTauHPS40_Trk1_eta2p1_Reg
 OBJ: TLeafO	HLT_Ele20_WPTight_Gsf	HLT_Ele20_WPTight_Gsf
 OBJ: TLeafO	HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTauHPS30_eta2p1_CrossL1	HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTauHPS30_eta2p1_CrossL1
 OBJ: TLeafO	HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTauHPS30_eta2p1_TightID_CrossL1	HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTauHPS30_eta2p1_TightID_CrossL1
 OBJ: TLeafO	HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTauHPS30_eta2p1_CrossL1	HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTauHPS30_eta2p1_CrossL1
 OBJ: TLeafO	HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTauHPS30_eta2p1_TightID_CrossL1	HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTauHPS30_eta2p1_TightID_CrossL1
 OBJ: TLeafO	HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTauHPS30_eta2p1_CrossL1	HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTauHPS30_eta2p1_CrossL1
 OBJ: TLeafO	HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTauHPS30_eta2p1_TightID_CrossL1	HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTauHPS30_eta2p1_TightID_CrossL1
 OBJ: TLeafO	HLT_Ele27_WPTight_Gsf	HLT_Ele27_WPTight_Gsf
 OBJ: TLeafO	HLT_Ele28_WPTight_Gsf	HLT_Ele28_WPTight_Gsf
 OBJ: TLeafO	HLT_Ele28_eta2p1_WPTight_Gsf_HT150	HLT_Ele28_eta2p1_WPTight_Gsf_HT150
 OBJ: TLeafO	HLT_Ele30_WPTight_Gsf	HLT_Ele30_WPTight_Gsf
 OBJ: TLeafO	HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned	HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned
